movie_ID;num_critic_for_reviews;picture_type;duration;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;movie_facebook_likes;num_voted_users;language;num_user_for_reviews;budget;origin_country;title_year;movie_rating;aspect_ratio;countries_launched_in;content_rating;gross
1;590.0;Color;67.0;36.0;;19608;842;0;306697.0;English;714.0;420247275.6;USA;2010;4.1;2.39;87.0;PG-13;126203320.0
2;126.0;Color;127.0;79.0;12000.0;506;50;11000;44198.0;English;251.0;4465423.0;USA;2005;7.9;2.39;4.0;R;5128124.0
3;50.0;Color;126.0;0.0;25976.0;23081;1607;3591;153876.0;English;1.0;139228116.1;USA;1993;7.0;1.89;63.0;R;44886089.0
4;393.0;Color;130.0;770.0;22371.0;709;0;0;150012.0;English;303.0;19073341.24;UK;2015;8.0;1.89;1.0;R;35024475.0
5;190.0;Color;109.0;453.0;18000.0;11000;2000;0;94892.0;;189.0;52718687.0;USA;2008;6.8;1.89;16.0;R;26415649.0
6;5.0;Color;105.0;20.0;427.0;295;122;0;177.0;English;11.0;11088.53487;Others;1999;4.6;1.89;16.0;R;123777.0
7;76.0;Color;121.0;1185.0;25215.0;1104;1110;5836;183685.0;English;485.0;48456183.44;USA;1996;6.8;1.89;26.0;R;46338728.0
8;348.0;Color;88.0;41.0;304.0;400;390;19990;38553.0;English;303.0;66809271.6;USA;2005;4.3;2.39;38.0;R;34334256.0
9;90.0;Color;90.0;277.0;472.0;0;12;303;6638.0;English;85.0;516336.7848;USA;2003;7.8;1.89;2.0;R;241816.0
10;1.0;Color;187.0;1504.0;0.0;83;75;71770;71097.0;French;164.0;6059336.687;UK;2015;8.9;2.39;;R;6857096.0
11;199.0;Color;131.0;517.0;40892.0;580;490;67605;96053.0;English;382.0;50795.7349;USA;2003;7.9;2.39;1.0;R;64286.0
12;116.0;Color;152.0;356.0;983.0;228;79;0;17242.0;English;189.0;20584678.67;USA;2001;7.4;1.89;16.0;R;13038660.0
13;259.0;Color;128.0;553.0;0.0;0;580;16668;112339.0;English;228.0;120808594.3;USA;1974;7.9;1.89;21.0;PG;76600000.0
14;;Color;112.0;153.0;31834.0;19426;687;1799;70842.0;English;146.0;14063654.49;USA;1995;6.4;1.89;7.0;PG;20550712.0
15;19.0;Color;118.0;13.0;90.0;22;2;0;13442.0;English;59.0;2094517.807;USA;1993;7.2;1.89;17.0;R;39100956.0
16;8.0;Color;128.0;57.0;727.0;269;147;1206;3906.0;Others;26.0;;USA;1969;6.9;1.89;20.0;R;29200000.0
17;321.0;;103.0;207.0;40000.0;11000;3000;25000;176598.0;English;374.0;18022537.0;USA;2010;6.0;2.39;12.0;PG-13;67631157.0
18;609.0;Color;167.0;19926.0;15957.0;13502;13565;52351;189172.0;English;1792.0;273942572.7;USA;2011;8.7;1.89;49.0;PG-13;120523073.0
19;271.0;Color;110.0;152.0;22000.0;68;27;0;178339.0;English;416.0;18785448.0;Others;2005;7.4;2.39;76.0;R;28747570.0
20;53.0;Color;96.0;98.0;0.0;379;539;0;11315.0;English;1.0;83293225.48;USA;2010;7.6;2.39;21.0;NC-17;37766350.0
21;140.0;Color;139.0;3000.0;3000.0;769;236;1000;349857.0;English;81.0;69600.0;USA;2005;7.4;1.89;94.0;R;74205.0
22;1.0;Color;;13.0;0.0;0;0;0;100571.0;Others;1.0;77787055.22;UK;1998;5.7;2.39;16.0;R;32333860.0
23;49.0;;86.0;30.0;262.0;23;14;903;22.0;English;46.0;804941.5352;USA;2005;7.1;2.39;17.0;R;3278611.0
24;79.0;;111.0;650.0;690.0;224;181;1000;18646.0;English;39.0;22289308.0;USA;2009;6.4;2.39;18.0;R;5205343.0
25;95.0;;98.0;8.0;96.0;71;14;43;22.0;English;17.0;3229.386579;USA;1996;6.9;1.89;1.0;R;22434.0
26;51.0;Color;90.0;22.0;344.0;257;140;0;2877.0;English;67.0;155691.4818;USA;2003;7.5;1.89;26.0;R;120620.0
27;26.0;Color;74.0;0.0;27408.0;782;686;0;11958.0;English;309.0;16168068.57;UK;2000;6.9;2.39;7.0;R;21005329.0
28;148.0;Color;;1.0;454.0;881;273;0;334.0;English;288.0;5327101.981;USA;2008;4.9;2.39;17.0;R;14888028.0
29;89.0;Color;153.0;15.0;687.0;504;479;0;16920.0;French;232.0;1060388.831;USA;2005;8.4;1.89;18.0;R;1110186.0
30;629.0;Color;116.0;324.0;53903.0;24132;865;0;104648.0;English;620.0;170377934.1;USA;1997;6.6;2.39;19.0;PG-13;135014968.0
31;1.0;Color;77.0;;17441.0;1220;881;0;30926.0;English;16.0;29120438.31;USA;2000;5.4;2.39;1.0;R;32940507.0
32;262.0;Color;115.0;21.0;13362.0;1090;992;16086;32400.0;English;87.0;173699983.1;USA;2014;6.9;2.39;24.0;R;42919096.0
33;1.0;;100.0;125.0;0.0;418;101;0;267624.0;English;1.0;118582299.7;USA;1991;6.4;1.89;72.0;R;38554542.91
34;5.0;Color;109.0;212.0;4660.0;599;318;387;33407.0;English;38.0;15544620.21;USA;1999;6.4;1.89;22.0;R;10070000.0
35;759.0;Color;80.0;45.0;35943.0;7272;3095;12525;69079.0;English;293.0;32721877.06;USA;2015;6.2;2.39;18.0;PG;66950483.0
36;170.0;Color;101.0;96.0;713.0;220;204;29000;22.0;English;626.0;102015566.0;USA;2012;6.5;1.89;28.0;PG;60443237.0
37;215.0;Color;115.0;216.0;;12162;981;0;22.0;English;106.0;838470.4569;USA;2008;6.3;2.39;1.0;R;12626905.0
38;78.0;Color;174.0;3.0;0.0;0;0;1030;122272.0;English;76.0;8915674.119;UK;1998;7.7;2.39;;R;6173485.0
39;217.0;Color;99.0;20.0;18877.0;852;813;0;76882.0;English;1.0;185049486.6;USA;2008;5.3;2.39;47.0;PG-13;48237389.0
40;192.0;Color;88.0;46.0;1802.0;1090;927;0;32787.0;English;65.0;5959662.047;;2013;5.0;1.89;11.0;R;9639242.0
41;487.0;Color;149.0;0.0;16729.0;4791;1130;32953;12403.0;English;529.0;38721960.29;USA;2013;6.7;2.39;1.0;R;80033643.0
42;251.0;Color;73.0;0.0;16992.0;1167;487;31617;11438.0;English;1.0;67372538.17;USA;2011;7.7;1.89;1.0;R;58401464.0
43;402.0;Color;138.0;0.0;0.0;5392;529;6544;18732.0;English;182.0;6561240.022;USA;2015;6.0;2.39;30.0;PG;43568507.0
44;122.0;Color;107.0;45.0;;533;485;0;267943.0;English;71.0;3780581.217;USA;2007;6.8;2.39;55.0;R;7486906.0
45;454.0;Color;157.0;22913.0;41600.0;0;198;84799;336422.0;English;1067.0;177253573.2;USA;2011;8.8;2.39;1.0;PG-13;127968405.0
46;605.0;Color;45.0;334.0;0.0;0;74;8880;93368.0;English;519.0;155799887.4;USA;1979;7.3;1.89;83.0;PG-13;113502246.0
47;227.0;Color;114.0;14147.0;824.0;634;556;0;18219.0;English;1280.0;451826623.6;USA;2001;5.5;2.39;15.0;PG-13;180011740.0
48;169.0;Color;110.0;179.0;12000.0;1000;734;31000;243550.0;English;374.0;6763948.0;USA;2014;3.1;2.39;76.0;R;13998282.0
49;20.0;Color;96.0;21.0;43.0;312;212;0;292612.0;English;8.0;704034.4678;USA;1994;6.3;1.89;80.0;R;302204.0
50;161.0;Color;179.0;320.0;0.0;29;51;0;176410.0;English;33.0;9050065.554;USA;2003;6.1;2.39;80.0;R;4584886.0
51;118.0;Color;113.0;78.0;17123.0;870;233;1175;24854.0;English;111.0;5104489.133;USA;2002;6.3;2.39;17.0;R;40905277.0
52;239.0;Color;96.0;545.0;14000.0;1000;974;32000;3244.0;English;423.0;;USA;2012;5.4;1.89;46.0;PG-13;42345531.0
53;117.0;Color;86.0;10.0;12000.0;795;348;0;22.0;English;221.0;22333742.0;USA;2004;6.2;1.89;10.0;PG-13;45860039.0
54;1.0;Color;111.0;712.0;370.0;87;0;721;100368.0;English;28.0;9209672.344;USA;1977;5.2;1.89;38.0;R;14587732.0
55;170.0;Color;101.0;96.0;713.0;220;204;29000;104831.0;English;564.0;102015566.0;USA;2012;6.5;1.89;6.0;PG;60443237.0
56;289.0;Black and White;103.0;381.0;0.0;0;0;0;251490.0;English;265.0;13581215.33;USA;2009;5.4;2.39;100.0;R;19673424.0
57;578.0;Color;170.0;0.0;2796.0;606;432;147937;53118.0;English;553.0;24708344.25;USA;2000;8.9;1.89;18.0;R;56667870.0
58;762.0;Color;189.0;22725.0;39932.0;15205;0;282675;2854.0;English;1513.0;167732986.5;USA;2014;9.2;2.39;27.0;PG-13;162803005.2
59;324.0;Color;101.0;47.0;872.0;939;218;0;76882.0;English;253.0;;USA;2011;6.4;1.89;47.0;R;39103378.0
60;331.0;;81.0;26.0;2000.0;509;300;0;25749.0;English;95.0;220311979.0;USA;2016;6.9;1.89;19.0;R;56536016.0
61;9.0;Color;;0.0;250.0;89;51;133;661302.0;English;40.0;688287.0;USA;2001;6.7;1.89;40.0;R;902835.0
62;558.0;Color;113.0;36.0;537.0;427;232;0;270605.0;English;714.0;6642887.0;USA;1999;6.2;2.39;100.0;PG-13;87704396.0
63;447.0;Color;90.0;377.0;18976.0;17319;1438;46747;99985.0;English;415.0;9029133.706;USA;2014;7.9;2.39;15.0;R;40983001.0
64;222.0;Color;99.0;0.0;0.0;0;478;76742;85645.0;English;226.0;261660406.2;USA;2011;6.9;2.39;19.0;PG;53991137.0
65;84.0;Color;122.0;0.0;643.0;909;821;0;1489.0;;480.0;41381418.88;USA;1999;5.9;1.89;12.0;PG-13;29655590.0
66;68.0;Color;87.0;29.0;469.0;302;234;0;248092.0;English;52.0;197544.9602;USA;2009;3.9;2.39;77.0;R;143000.0
67;271.0;;77.0;77.0;9934.0;392;136;36840;208586.0;English;176.0;4319660.431;;2004;6.3;2.39;42.0;R;6619173.0
68;276.0;Color;127.0;34.0;1058.0;1412;1466;32377;66270.0;English;342.0;42410237.4;USA;2012;6.4;2.39;100.0;PG-13;44665963.0
69;104.0;Color;148.0;0.0;3000.0;324;263;0;220529.0;English;309.0;10097588.0;USA;1996;8.0;2.39;58.0;R;24475416.0
70;67.0;Color;101.0;111.0;971.0;745;613;0;59441.0;English;182.0;14415390.14;USA;1999;5.9;2.39;5.0;R;6851636.0
71;264.0;Color;;0.0;25572.0;1150;731;15137;4518.0;;296.0;5215346.649;USA;2008;7.6;1.89;3.0;R;3081925.0
72;211.0;Black and White;180.0;3697.0;0.0;0;0;39302;94441.0;English;241.0;62519795.76;UK;2002;9.3;2.39;9.0;PG-13;32519783.79
73;1.0;Black and White;100.0;0.0;24.0;0;0;264;238258.0;English;87.0;304840.6574;USA;1932;5.3;1.89;6.0;R;2808000.0
74;105.0;Black and White;123.0;490.0;4761.0;1194;1564;0;72443.0;;244.0;32084594.62;USA;2005;7.7;2.39;16.0;R;25776062.0
75;;Color;121.0;;673.0;368;202;894;12862.0;English;248.0;119850099.0;USA;1997;3.7;1.89;;PG-13;48068396.0
76;1.0;Color;169.0;22970.0;0.0;0;0;0;60833.0;English;1.0;143247138.6;USA;1986;8.1;1.89;7.0;PG;32000000.0
77;182.0;Color;82.0;0.0;24442.0;631;603;0;74678.0;English;122.0;1671386.972;USA;2011;5.0;1.89;83.0;R;31397498.0
78;515.0;Color;54.0;0.0;773.0;641;334;0;4004.0;English;1013.0;3950803.074;USA;1996;7.0;1.89;28.0;Approved;89296573.0
79;414.0;Color;135.0;0.0;11806.0;3481;1035;36645;53996.0;English;537.0;38617697.47;USA;2012;6.9;1.89;1.0;PG-13;80033643.0
80;196.0;Black and White;92.0;54.0;776.0;595;306;0;255641.0;English;339.0;13568323.0;USA;2000;6.9;1.89;67.0;;8279017.0
